iter	RMSE
0	95.5333784
1	88.1041211
2	81.10933845
3	75.14582144
4	69.3328223
5	64.06786352
6	59.26568692
7	55.475883
8	51.33755441
9	48.07739691
10	44.84296219
11	41.93773162
12	39.24473365
13	36.85264118
14	34.72135907
15	32.60470736
16	30.75097483
17	29.1169762
18	27.75724701
19	26.31018126
20	25.0912699
21	23.90715475
22	22.92340009
23	22.11539599
24	21.2880956
25	20.63742747
26	20.00671866
27	19.47693997
28	19.05227944
29	18.57226876
30	18.18422853
31	17.84192082
32	17.49376171
33	17.19741187
34	16.89556049
35	16.6110667
36	16.37612377
37	16.1611909
38	15.9956573
39	15.82332231
40	15.67776728
41	15.54015759
42	15.38624436
43	15.24233952
44	15.06769739
45	14.89638513
46	14.73393004
47	14.61720235
48	14.50190438
49	14.37159012
50	14.24669064
51	14.14481692
52	14.03877043
53	13.94534566
54	13.85260405
55	13.7601461
56	13.66540311
57	13.58282999
58	13.51947515
59	13.4573985
60	13.34895595
61	13.2496172
62	13.17267922
63	13.1185684
64	13.04768421
65	12.96102512
66	12.88972604
67	12.81656273
68	12.71329269
69	12.63344927
70	12.54519235
71	12.4780389
72	12.38073164
73	12.33368495
74	12.27591858
75	12.2131085
76	12.14071338
77	12.07063391
78	11.96585101
79	11.90649258
80	11.8140898
81	11.6984593
82	11.635649
83	11.59673255
84	11.49175324
85	11.42657153
86	11.34442508
87	11.23676568
88	11.14349892
89	11.10404469
90	11.02601273
91	10.94077983
92	10.88839382
93	10.81996191
94	10.76051818
95	10.73838311
96	10.63913726
97	10.59261107
98	10.52643177
99	10.4587246
